DomainName,EnumerantValue,EnumerantDefinition
AL013,105 = Oil-mill,"The manufacture of crude and refined oils (for example: olive oil, soya-bean oil, or palm oil) and fats (for example: margarine) from vegetable or animal materials. [Description] Includes, for example: manufacture of crude or refined vegetable oils (for example: olive oil, soya-bean oil, palm oil, sunflower-seed oil, cotton-seed oil, rape, colza or mustard oil, or linseed oil); manufacture of non-defatted flour or meal of oilseeds, oil nuts or oil kernels; processing of vegetable oils (for example: blowing, boiling, dehydration, or hydrogenation); manufacture of margarine, melanges and similar spreads; and the manufacture of compound cooking fats. It also includes, for example, the related activities of: manufacture of non-edible animal oils and fats; extraction of fish and marine mammal oils; and the production of cotton linters, oilcakes and other residual products of oil production."
AL013,106 = Dairying,"The manufacture of dairy products (for example: milk, butter, cheese, or ice cream). [Description] Includes, for example, the manufacture of: fresh liquid milk (pasteurized, sterilized, homogenized and/or ultra heat treated); milk-based drinks; cream from fresh liquid milk (pasteurized, sterilized, homogenized); dried or concentrated milk whether or not sweetened; milk or cream in solid form; butter; yoghurt; cheese and curd; whey; casein or lactose; and ice cream and other edible ices such as sorbet."
AL013,107 = Grain Milling,"The manufacture of grain mill products (for example: meal, polished rice, flour mix or cereal breakfast foods). [Description] Includes, for example: grain milling (the production of flour, groats, meal or pellets of wheat, rye, oats, maize or other cereal grains); rice milling (the production of husked, milled, polished, glazed, parboiled or converted rice, or rice flour); vegetable milling (production of flour or meal of dried leguminous vegetables, of roots or tubers, or of edible nuts); manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes; and the manufacture of cereal breakfast foods."
AL013,110 = Baking,"The manufacture of fresh, frozen or dry bakery products (for example: bread, pies, crackers or pancakes). [Description] Includes, for example, the manufacture of: bread and rolls; fresh pastry, cakes, pies, and tarts; rusks, biscuits and other 'dry' bakery products; preserved pastry goods and cakes; snack products (for example: cookies, crackers, or pretzels), whether sweet or salted; tortillas; and frozen bakery products (for example: pancakes, waffles, or rolls)."
AL013,111 = Sugar Manufacture,"The manufacture of sugar in various forms (for example: granulated or syrup). [Description] Includes, for example: manufacture or refining of sugar (sucrose) and sugar substitutes from the juice of cane, beet, maple and palm; manufacture of sugar syrups and molasses; and the production of maple syrup and maple sugar."
AL013,112 = Sugar Milling,"The manufacture of raw sugar from sugar cane. [Description] The sugar cane stalks are washed, then chopped and shredded, then repeatedly mixed with water and crushed between rollers; the collected juices contain 10 to 15 percent sucrose. The remaining fibrous solids and termed 'bagasse' and are often burnt for fuel. Filtering, pH adjustment, clarification, evaporation and crystallization result in raw sugar that is yellow to brown in color."
AL013,113 = Sugar Refining,"The manufacture of refined sugar from raw sugar. [Description] The raw sugar is mixed with heavy syrup, centrifuged, separated, dissolved, treated, filtered, concentrated to supersaturation and then repeatedly crystallized under vacuum to produce white refined sugar. To produce granulated sugar in which the individual sugar grains do not clump together, the refined sugar must be completely dried. This is accomplished first by drying the sugar in a hot rotary dryer, and then by conditioning the sugar by blowing cool air through it for several days."
AL013,114 = Confection Manufacture,"The manufacture of cocoa, chocolate and sugar confectionery (for example: caramels or chewing gum). [Description] Includes, for example, the manufacture of: cocoa, cocoa butter, cocoa fat, and cocoa oil; chocolate and chocolate confectionery; sugar confectionery (for example: caramels, cachous, nougats, fondant, or white chocolate); chewing gum; and confectionery lozenges and pastilles. It also includes the preserving in sugar of fruit, nuts, fruit peels and other parts of plants."
AL013,115 = Pasta Manufacture,"The manufacture of farinaceous products (for example: macaroni, noodles, or couscous). [Description] Includes, for example, the manufacture of: pastas such as macaroni and noodles, whether or not cooked or stuffed; couscous; and canned or frozen pasta products."
AL013,116 = Prepared Meal Manufacture,"The manufacture of ready-made (for example: prepared, seasoned and cooked) meals and dishes, in frozen or canned form. [Description] These dishes are usually packaged and labeled for re-sale. They include, for example: fresh or frozen meat or poultry dishes; canned stews and vacuum-prepared meals; other prepared meals (for example: 'TV dinners'); frozen fish dishes, including fish and chips; prepared dishes of vegetables; and frozen pizza."
AL013,119 = Animal Feed Manufacture,"The manufacture of prepared animal feeds. [Description] Includes, for example: prepared feeds for pets (for example: dogs, cats, birds, or fish); prepared feeds for farm animals, including animal feed concentrated and feed supplements; preparation of unmixed (single) feeds for farm animals; and the treatment of slaughter waste to produce animal feeds."
AL013,120 = Ice Manufacture,"The manufacture of water ice (for example: block ice (including sculptured ice), and packaged crushed, cubed, and shaved ice) and dry ice (frozen carbon dioxide). [Description] Ice manufacturers are often also involved in its wholesale distribution."
AL013,118 = Beverage Manufacture,"The manufacture of nonalcoholic beverages, alcoholic beverages through the fermentation process and alcoholic beverages that are distilled. [Description] "
AL013,121 = Spirit Distillery,"The distilling, rectifying and blending of spirits (for example: brandy, gin or whiskey) for human consumption. [Description] Includes, for example: manufacture of distilled, potable, alcoholic beverages (for example: whisky, brandy, gin, liqueurs, or 'mixed drinks'); blending of distilled spirits; and the production of neutral spirits."
AL013,122 = Winery,"The manufacture of wine and related fermented products. [Description] Includes, for example, the manufacture of: wine; sparkling wine; wine from concentrated grape must; fermented but not distilled alcoholic beverages (for example: sake, cider, perry, mead, other fruit wines and mixed beverages containing alcohol); vermouth and similer flavoured wines. It also includes the blending of wine and the manufacture of low or non-alcoholic wine."
AL013,123 = Brewing,"The manufacture of malt liquors (for example: beer or ale), malt, and related malt products. [Description] Includes, for example, the manufacture of malt liquors (for example: beer, ale, porter or stout) and malt. It also includes the manufacture of low alcohol or non-alcoholic beer."
AL013,124 = Soft Drink Manufacture,"The manufacture of soft drinks and the production of natural mineral waters and other bottled waters. [Description] Includes the manufacture of various non-alcoholic beverages (excepting non-alcoholic beer and wine) and non-alcoholic flavoured and/or sweetened waters; for example: lemonade, orangeade, cola, fruit drinks, or tonic waters."
AL013,125 = Tobacco Product Manufacture,"The processing of an agricultural product, tobacco, into a form suitable for final consumption. [Description] Includes, for example, the manufacture of tobacco products and products of tobacco substitutes (for example: cigarettes, cigarette tobacco, cigars, pipe tobacco, chewing tobacco, or snuff) as well as the manufacture of 'homogenized' or 'reconstituted' tobacco. It also inclused the process of stemming and redrying of tobacco."
AL013,"129 = Textile, Apparel and Leather Manufacture","The manufacture of textile, apparel, leather and other materials from natural and synthetic sources. [Description] Textile, apparel, leather and other materials range from furs, to woven materials, to exotic natural and synthetic fabrics."
AL013,130 = Textile Manufacture,"The preparation and spinning of textile fibres as well as textile weaving, finishing of textiles, and the manufacture of made-up textile articles (for example: household linen, blankets, rugs, or cordage) except wearing apparel. [Description] "
AL013,140 = Apparel Manufacture,"The tailoring (ready-to-wear or made-to-measure) in all materials (for example: leather, fabric, or knitted and crocheted fabrics) of all items of clothing (for example: outerwear or underwear; for men, women or children; for work, city or casual use) and accessories. [Description] The material used may be coated, impregnated or rubberized. Also included are headgear of fur skins."
AL013,150 = Leather Product Manufacture,"The manufacture of articles made of fur skins. [Description] Includes, for example: fur wearing apparel and clothing accessories; assemblies of fur skins (for example: 'dropped' fur skins, plates, mats, or strips; and diverse articles of fur skins (for example: rugs, unstuffed pouffes, and industrial polishing cloths)."
AL013,155 = Footwear Manufacturing,"The manufacture of footwear for all purposes, of any material, by any process, including moulding. [Description] Also includes the manufacture of leather parts of footwear (for example: manufacture of uppers and parts of uppers, outer and inner soles, or heels) as well as the manufacture of gaiters, leggings and similar articles."
AL013,160 = Wood-based Manufacturing,"The process of taking logs and cutting them into lumber which then may be further cut or shaped and assembled into wood products. [Description] "
AL013,161 = Sawmilling,"The sawmilling and planing of wood and related processes (for example: drying or preservative treatment) and products (for example: railway sleepers or flooring). [Description] Includes, for example: sawing, planing and machining of wood; slicing, peeling or chipping logs; manufacture of wooden railway sleepers; manufacture of unassembled wooden flooring; and manufacture of wood wool, wood flour, chips, and particles. It also includes the processes of drying of wood and impregnation or chemical treatment of wood with preservatives or other materials."
AL013,165 = Wooden Construction Product Manufacture,"The manufacture of wooden goods intended to be used primarily in the construction industry. [Description] Includes, for example, the manufacture of: beams, rafters, roof struts; glue-laminated and metal connected, prefabricated wooden roof trusses; doors, windows, shutters and their frames, whether or not containing metal fittings (for example: hinges or locks); stairs and railings; wooden beadings and mouldings, shingles and shakes; and parquet floor blocks or strips assembled into panels. It also includes, for example, the related activities of: manufacture of prefabricated buildings, or elements thereof, predominantly of wood; manufacture of mobile homes; and the manufacture of wood partitions (except free standing)."
AL013,171 = Paper-mill,"The manufacture of pulp, paper, and paperboard (for example: non-corrugated cardboard). [Description] Includes, for example: manufacture of bleached, semi-bleached or unbleached paper pulp by mechanical, chemical (dissolving or nondissolving) or semi-chemical processes; manufacture of cotton-linters pulp; removal of ink and manufacture of pulp from waste paper; and the manufacture of paper and paperboard intended for further industrial processing. It also includes the further processing of paper and paperboard (for example: coating, covering and impregnation of paper and paperboard; manufacture of creped or crinkled paper; and manufacture of laminates and foils, if laminated with paper or paperboard) and the manufacture of: handmade paper; newsprint and other printing or writing paper; cellulose wadding and webs of cellulose fibres; and carbon paper or stencil paper in rolls or large sheets."
AL013,181 = Printing,"An industrial process for reproducing copies of texts and images, typically with ink on paper using a printing press. [Description] Includes, for example, the printing of newspapers, magazines and other periodicals, books and brochures, music and music manuscripts, maps, atlases, posters, advertising catalogues, prospectuses and other printed advertising, postage stamps, taxation stamps, documents of title, cheques and other security papers, diaries, calendars, business forms and other commercial printed matter, personal stationery and other printed matter by a variety of methods (for example: letterpress, offset, photogravure, flexographic and other printing presse, duplication machine, computer printer, or embosser). The surfaces to be printed may include textiles, plastic, glass, metal, wood and ceramics."
AL013,190 = Petroleum and Coal Products Manufacturing,"The transformation of crude petroleum and coal into usable products. [Description] "
AL013,192 = Petroleum Refining,"The manufacture of liquid or gaseous fuels or other products from crude petroleum, bituminous minerals or their fractionation products. [Description] Petroleum refining involves one or more of the following activities: fractionation, straight distillation of crude oil, and cracking. Includes, for example: production of motor fuel (for example: gasoline or kerosene; production of fuel (for example: light, medium and heavy fuel oil; or refinery gases such as ethane, propane and butane); manufacture of oil-based lubricating oils or greases, including from waste oil; manufacture of products for the petrochemical industry and for the manufacture of road coverings; manufacture of various commercial products (for example: white spirit, vaseline, paraffin wax, or petroleum jelly; manufacture of hard-coal and lignite fuel briquettes; manufacture of petroleum briquettes; and the blending of alcohol-based biofuels (for example: gasohol or E85)."
AL013,191 = Coke Manufacture,"The manufacture of coke oven products (for example: coke and semi-coke, pitch and pitch coke, coke oven gas, or crude coal and lignite tars). [Description] Also includes the related activities of coke ovens operation and coke agglomeration."
AL013,195 = Chemical Manufacture,"The transformation of organic and inorganic raw materials by a chemical process and the formation of either basic manufacturing chemicals or products. [Description] Basic chemicals (for example: basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms) may be distinguished from the production of intermediate and end products produced by further processing of basic chemicals."
AL013,210 = Medicinal Product Manufacture,"The manufacture of basic pharmaceutical products and pharmaceutical preparations, including both medicinal chemical and botanical products. [Description] Includes, for example, the manufacture of: medicinal active substances to be used for their pharmacological properties in the manufacture of medicaments (for example: antibiotics, basic vitamins, or salicylic and O-acetylsalicylic acids); medicaments (for example: antisera and other blood fractions, vaccines, or diverse medicaments, including homeopathic preparations); chemical contraceptive products for external use and hormonal contraceptive medicaments; medical diagnostic preparations, including pregnancy tests; radioactive in-vivo diagnostic substances; and biotech pharmaceuticals. It also also includes: manufacture of chemically pure sugars; processing of blood; processing of glands and manufacture of extracts of glands; manufacture of medical impregnated materials (for example: wadding, gauze, bandages, dressings, or surgical sutures); and the preparation of botanical products (grinding, grading, milling) for pharmaceutical use."
AL013,221 = Rubber Product Manufacture,"The manufacture of products of natural or synthetic rubber, unvulcanized, vulcanized or hardened. [Description] Includes, for example, the manufacture of: rubber tyres or tubes; rubber plates, sheets, strip, rods, or profile shapes; tubes, pipes and hoses; conveyor or transmission belts or belting; hygienic articles (for example: sheath contraceptives, teats, or hot water bottles); articles of apparel (if only sealed together, not sewn); rubber thread and rope; rubberized yarn and fabrics; rubber rings, fittings and seals; rubber roller coverings; inflatable rubber mattresses and balloons.; rubber brushes; hard rubber pipe stems; and hard rubber combs, hair pins, hair rollers, and similar items. It also includes the manufacture of: rubber repair materials; textile fabric impregnated, coated, covered or laminated with rubber, where rubber is the chief constituent; rubber waterbed mattresses; rubber bathing caps and aprons; and rubber wet suits and diving suits."
AL013,225 = Plastic Product Manufacture,"The processing of new or spent (recycled) plastics resins into intermediate or final products, using such processes as compression molding, extrusion molding, injection molding, blow molding, and casting. [Description] For most of these, the production process is such that a wide variety of products can be made. Includes, for example, the manufacture of: semi-manufactures of plastic products (for example: plastic plates, sheets, blocks, film, foil, or strip (whether self-adhesive or not); finished plastic products (for example: plastic tubes, pipes and hoses, or hose and pipe fittings); plastic articles for the packing of goods (for example: plastic bags, sacks, containers, boxes, cases, carboys, or bottles); builders' plastics ware (for example: plastic doors, windows, frames, shutters, blinds, skirting boards; tanks, reservoirs; plastic floor, wall or ceiling coverings in rolls or in the form of tiles; plastic sanitary ware like plastic baths, shower-baths, washbasins, lavatory pans, and flushing cisterns); plastic tableware, kitchenware and toilet articles; cellophane film or sheet; resilient floor coverings (for example: vinyl or linoleum); artificial stone; and diverse other plastic products (for example: plastic headgear, insulating fittings, parts of lighting fittings, office or school supplies, articles of apparel (if only sealed together, not sewn), fittings for furniture, statuettes, transmission and conveyer belts, self-adhesive tapes of plastic, wall paper, shoe lasts, cigar and cigarette holders, combs, hair curlers, or plastic novelties)."
AL013,230 = Nonmetallic Mineral Product Manufacturing,"The transformation and manufacture of mined or quarried nonmetallic minerals into products for transitional or final consumption. [Description] Mined or quarried nonmetallic minerals include sand, gravel, stone, clay, and refractory materials. Processes used in the manufacture of these products include grinding, mixing, cutting, shaping, honing and heating. The products produced in this manufacturing process includes glass, refractory ceramic goods, roofing tiles, ceramic tableware, hydraulic cements, precast concrete and stone products such as monuments."
AL013,231 = Glass Product Manufacture,"The manufacture of glass in all its forms, made by any process, and products composed of glass. [Description] Includes, for example, the manufacture of: flat glass, including wired, coloured or tinted flat glass; toughened or laminated flat glass; glass in rods or tubes; glass paving blocks; glass mirrors; multiple-walled insulating units of glass; bottles and other containers of glass or crystal; drinking glasses and other domestic glass or crystal articles; glass fibres, including glass wool and non-woven products thereof; laboratory, hygienic or pharmaceutical glassware; clock or watch glasses, optical glass and optical elements not optically worked; glassware used in imitation jewellery; glass insulators and glass insulating fittings; glass envelopes for lamps; and glass figurines."
